Timestamp,SensorID,Temperature,Humidity
2024-01-01T00:00:00Z,SENSOR-01,27.79,31.5
2024-01-01T01:00:00Z,SENSOR-02,20.5,43.39
2024-01-01T02:00:00Z,SENSOR-03,29.73,70.6
2024-01-01T03:00:00Z,SENSOR-04,32.84,35.22
2024-01-01T04:00:00Z,SENSOR-01,23.44,31.79
2024-01-01T05:00:00Z,SENSOR-02,19.37,60.32
2024-01-01T06:00:00Z,SENSOR-03,15.53,41.93
2024-01-01T07:00:00Z,SENSOR-04,28.0,62.7
2024-01-01T08:00:00Z,SENSOR-01,19.41,65.36
2024-01-01T09:00:00Z,SENSOR-02,31.19,30.39
2024-01-01T10:00:00Z,SENSOR-03,31.12,71.89
2024-01-01T11:00:00Z,SENSOR-04,21.81,39.33
2024-01-01T12:00:00Z,SENSOR-01,34.14,50.2
2024-01-01T13:00:00Z,SENSOR-02,16.85,35.8
2024-01-01T14:00:00Z,SENSOR-03,31.95,66.22
2024-01-01T15:00:00Z,SENSOR-04,31.14,73.78
2024-01-01T16:00:00Z,SENSOR-01,25.72,88.39
2024-01-01T17:00:00Z,SENSOR-02,22.57,63.12
2024-01-01T18:00:00Z,SENSOR-03,31.59,67.11
2024-01-01T19:00:00Z,SENSOR-04,32.23,64.64
2024-01-01T20:00:00Z,SENSOR-01,29.09,32.75
2024-01-01T21:00:00Z,SENSOR-02,19.56,47.36
2024-01-01T22:00:00Z,SENSOR-03,16.6,43.97
2024-01-01T23:00:00Z,SENSOR-04,17.02,46.68
2024-01-02T00:00:00Z,SENSOR-01,27.71,51.89
2024-01-02T01:00:00Z,SENSOR-02,22.4,42.57
2024-01-02T02:00:00Z,SENSOR-03,20.34,86.2
2024-01-02T03:00:00Z,SENSOR-04,27.96,66.55
2024-01-02T04:00:00Z,SENSOR-01,18.42,73.75
2024-01-02T05:00:00Z,SENSOR-02,18.27,52.77
2024-01-02T06:00:00Z,SENSOR-03,34.79,68.4
2024-01-02T07:00:00Z,SENSOR-04,26.14,71.08
2024-01-02T08:00:00Z,SENSOR-01,31.86,76.56
2024-01-02T09:00:00Z,SENSOR-02,19.58,31.93
2024-01-02T10:00:00Z,SENSOR-03,21.31,46.06
2024-01-02T11:00:00Z,SENSOR-04,19.22,86.57
2024-01-02T12:00:00Z,SENSOR-01,32.53,48.88
2024-01-02T13:00:00Z,SENSOR-02,28.11,53.74
2024-01-02T14:00:00Z,SENSOR-03,33.29,57.53
2024-01-02T15:00:00Z,SENSOR-04,20.3,44.8
2024-01-02T16:00:00Z,SENSOR-01,26.23,45.76
2024-01-02T17:00:00Z,SENSOR-02,26.69,83.87
2024-01-02T18:00:00Z,SENSOR-03,22.99,43.16
2024-01-02T19:00:00Z,SENSOR-04,34.95,60.57
2024-01-02T20:00:00Z,SENSOR-01,16.82,32.83
2024-01-02T21:00:00Z,SENSOR-02,17.19,67.65
2024-01-02T22:00:00Z,SENSOR-03,30.84,55.33
2024-01-02T23:00:00Z,SENSOR-04,16.27,52.9
2024-01-03T00:00:00Z,SENSOR-01,34.92,61.75
2024-01-03T01:00:00Z,SENSOR-02,34.42,81.65
2024-01-03T02:00:00Z,SENSOR-03,15.23,73.24
2024-01-03T03:00:00Z,SENSOR-04,28.63,62.22
2024-01-03T04:00:00Z,SENSOR-01,20.34,68.46
2024-01-03T05:00:00Z,SENSOR-02,17.23,56.09
2024-01-03T06:00:00Z,SENSOR-03,24.07,87.23
2024-01-03T07:00:00Z,SENSOR-04,32.52,45.8
2024-01-03T08:00:00Z,SENSOR-01,25.01,40.72
2024-01-03T09:00:00Z,SENSOR-02,33.25,82.23
2024-01-03T10:00:00Z,SENSOR-03,20.97,68.34
2024-01-03T11:00:00Z,SENSOR-04,27.18,39.17
2024-01-03T12:00:00Z,SENSOR-01,30.25,62.36
2024-01-03T13:00:00Z,SENSOR-02,30.57,61.82
2024-01-03T14:00:00Z,SENSOR-03,15.01,49.45
2024-01-03T15:00:00Z,SENSOR-04,15.39,85.75
2024-01-03T16:00:00Z,SENSOR-01,32.57,79.9
2024-01-03T17:00:00Z,SENSOR-02,21.15,33.48
2024-01-03T18:00:00Z,SENSOR-03,32.56,86.82
2024-01-03T19:00:00Z,SENSOR-04,16.71,59.16
2024-01-03T20:00:00Z,SENSOR-01,16.38,75.64
2024-01-03T21:00:00Z,SENSOR-02,30.32,37.7
2024-01-03T22:00:00Z,SENSOR-03,24.51,62.99
2024-01-03T23:00:00Z,SENSOR-04,20.3,82.35
2024-01-04T00:00:00Z,SENSOR-01,23.46,42.71
2024-01-04T01:00:00Z,SENSOR-02,25.79,73.8
2024-01-04T02:00:00Z,SENSOR-03,19.02,48.7
2024-01-04T03:00:00Z,SENSOR-04,34.9,68.99
2024-01-04T04:00:00Z,SENSOR-01,23.76,61.05
